store_id,org_id,city_id,store_name,micro_market,latitude,longitude,opening_hour,closing_hour,daily_order_capacity,pick_capacity_per_hour,inventory_slot_capacity,cold_storage_capacity_units,active_flag
1,1,1,Bengaluru HSR DS-1,HSR,12.965073,77.642947,06:00,23:59,691,55,2848,290,true
2,1,1,Bengaluru Indiranagar DS-2,Indiranagar,12.966896,77.650448,06:00,23:59,615,58,3085,375,true
3,1,1,Bengaluru Whitefield DS-3,Whitefield,12.958874,77.673417,06:00,23:59,566,56,3489,298,true
4,1,1,Bengaluru Koramangala DS-4,Koramangala,13.002992,77.520962,06:00,23:59,719,51,3196,226,true
5,1,1,Bengaluru Hebbal DS-5,Hebbal,13.037902,77.679629,06:00,23:59,407,34,1646,204,true
6,1,1,Bengaluru Jayanagar DS-6,Jayanagar,12.958925,77.627299,06:00,23:59,408,33,1888,123,true
7,1,1,Bengaluru HSR DS-7,HSR,13.021939,77.644946,06:00,23:59,552,57,2926,353,true
8,1,2,Mumbai Powai DS-1,Powai,19.132388,72.89215,06:00,23:59,427,41,1859,140,true
9,1,2,Mumbai Andheri DS-2,Andheri,19.062847,72.921823,06:00,23:59,572,55,2445,292,true
10,1,2,Mumbai Bandra DS-3,Bandra,19.135462,72.839353,06:00,23:59,964,72,3967,417,true
11,1,2,Mumbai Thane DS-4,Thane,19.080751,72.941355,06:00,23:59,301,42,1673,124,true
12,1,2,Mumbai Ghatkopar DS-5,Ghatkopar,19.160833,72.906853,06:00,23:59,712,47,2732,262,true
13,1,2,Mumbai Navi Mumbai DS-6,Navi Mumbai,18.987344,72.837855,06:00,23:59,524,57,3490,275,true
14,1,2,Mumbai Powai DS-7,Powai,19.04432,72.843528,06:00,23:59,461,67,3048,283,true
15,1,3,Delhi NCR Gurugram DS-1,Gurugram,28.619654,77.228697,06:00,23:59,565,43,2616,240,true
16,1,3,Delhi NCR Noida DS-2,Noida,28.594564,77.17154,06:00,23:59,338,37,1658,192,true
17,1,3,Delhi NCR Dwarka DS-3,Dwarka,28.656584,77.199819,06:00,23:59,445,31,1722,197,true
18,1,3,Delhi NCR Saket DS-4,Saket,28.564124,77.135979,06:00,23:59,344,39,1828,126,true
19,1,3,Delhi NCR Rohini DS-5,Rohini,28.6481,77.263451,06:00,23:59,574,67,3031,292,true
20,1,3,Delhi NCR Indirapuram DS-6,Indirapuram,28.559197,77.283844,06:00,23:59,286,37,1893,161,true
21,1,4,Hyderabad Madhapur DS-1,Madhapur,17.379906,78.461049,06:00,23:59,709,43,3239,367,true
22,1,4,Hyderabad Gachibowli DS-2,Gachibowli,17.316899,78.501095,06:00,23:59,667,43,3300,295,true
23,1,4,Hyderabad Kondapur DS-3,Kondapur,17.390593,78.399988,06:00,23:59,468,49,3518,321,true
24,1,4,Hyderabad Banjara Hills DS-4,Banjara Hills,17.430779,78.538597,06:00,23:59,735,42,2806,268,true
25,1,4,Hyderabad Kukatpally DS-5,Kukatpally,17.409914,78.456458,06:00,23:59,505,48,2779,225,true
26,1,5,Pune Baner DS-1,Baner,18.456755,73.8495,06:00,23:59,325,29,2376,133,true
27,1,5,Pune Kothrud DS-2,Kothrud,18.456771,73.885233,06:00,23:59,678,60,2438,368,true
28,1,5,Pune Wakad DS-3,Wakad,18.554016,73.823615,06:00,23:59,631,52,2435,321,true
29,1,5,Pune Viman Nagar DS-4,Viman Nagar,18.577365,73.93491,06:00,23:59,482,54,2905,263,true
30,1,5,Pune Hadapsar DS-5,Hadapsar,18.459634,73.91664,06:00,23:59,391,31,1952,153,true
31,1,6,Chennai OMR DS-1,OMR,13.108742,80.275633,06:00,23:59,1078,94,4482,461,true
32,1,6,Chennai Adyar DS-2,Adyar,12.998558,80.199674,06:00,23:59,648,45,3126,240,true
33,1,6,Chennai Anna Nagar DS-3,Anna Nagar,13.074822,80.257444,06:00,23:59,358,32,2279,145,true
34,1,6,Chennai Velachery DS-4,Velachery,13.052975,80.290041,06:00,23:59,384,35,1820,125,true
