snapshot_id,snapshot_ts,store_id,city_id,resource_type,resource_name,active_units,provisioned_units,utilization_pct,monthly_cost_inr,shift_staff_present,shift_staff_planned
1,2026-03-15T07:44:00+05:30,1,1,picker_capacity,Bengaluru HSR DS-1 Picker Capacity,9,11,81.82,357000,9,11
2,2026-03-15T07:44:00+05:30,1,1,packer_capacity,Bengaluru HSR DS-1 Packer Capacity,5,7,71.43,245000,5,7
3,2026-03-15T07:44:00+05:30,1,1,driver_capacity,Bengaluru HSR DS-1 Driver Capacity,24,27,88.89,614000,24,27
4,2026-03-15T07:44:00+05:30,1,1,dispatch_bays,Bengaluru HSR DS-1 Dispatch Bays,5,5,100.0,162000,24,27
5,2026-03-15T07:44:00+05:30,1,1,cold_storage,Bengaluru HSR DS-1 Cold Storage,185,290,63.79,209400,14,18
6,2026-03-15T07:44:00+05:30,1,1,saas_licenses,Bengaluru HSR DS-1 Operations SaaS Seats,15,24,62.5,52440,14,18
7,2026-03-15T07:27:00+05:30,2,1,picker_capacity,Bengaluru Indiranagar DS-2 Picker Capacity,11,13,84.62,381000,11,13
8,2026-03-15T07:27:00+05:30,2,1,packer_capacity,Bengaluru Indiranagar DS-2 Packer Capacity,8,9,88.89,263000,8,9
9,2026-03-15T07:27:00+05:30,2,1,driver_capacity,Bengaluru Indiranagar DS-2 Driver Capacity,22,26,84.62,606000,22,26
10,2026-03-15T07:27:00+05:30,2,1,dispatch_bays,Bengaluru Indiranagar DS-2 Dispatch Bays,5,5,100.0,162000,22,26
11,2026-03-15T07:27:00+05:30,2,1,cold_storage,Bengaluru Indiranagar DS-2 Cold Storage,309,375,82.4,231500,19,22
12,2026-03-15T07:27:00+05:30,2,1,saas_licenses,Bengaluru Indiranagar DS-2 Operations SaaS Seats,21,28,75.0,53680,19,22
13,2026-03-15T07:43:00+05:30,3,1,picker_capacity,Bengaluru Whitefield DS-3 Picker Capacity,9,10,90.0,345000,9,10
14,2026-03-15T07:43:00+05:30,3,1,packer_capacity,Bengaluru Whitefield DS-3 Packer Capacity,6,7,85.71,245000,6,7
15,2026-03-15T07:43:00+05:30,3,1,driver_capacity,Bengaluru Whitefield DS-3 Driver Capacity,27,31,87.1,646000,27,31
16,2026-03-15T07:43:00+05:30,3,1,dispatch_bays,Bengaluru Whitefield DS-3 Dispatch Bays,5,5,100.0,162000,27,31
17,2026-03-15T07:43:00+05:30,3,1,cold_storage,Bengaluru Whitefield DS-3 Cold Storage,269,298,90.27,211480,15,17
