invoice_id,org_id,vendor_id,contract_id,store_id,city_id,invoice_ref,invoice_date,billing_period_start,billing_period_end,service_unit_count,validated_unit_count,billed_rate_inr,contracted_rate_inr,amount_inr,status
1,1,1,1,1,1,QB-001-01-W01,2026-03-21,2026-03-15,2026-03-21,2842,2842,35.74,35.74,101573.08,open
2,1,3,3,1,1,QB-001-03-W01,2026-03-21,2026-03-15,2026-03-21,3698,3698,6.47,6.47,23926.06,open
3,1,7,7,1,1,QB-001-07-W01,2026-03-21,2026-03-15,2026-03-21,72,67,937.94,937.94,67531.68,open
4,1,6,6,1,1,QB-001-06-W01,2026-03-21,2026-03-15,2026-03-21,110,110,39.06,39.06,4296.6,open
5,1,9,9,1,1,QB-001-09-W01,2026-03-21,2026-03-15,2026-03-21,31,31,298.29,298.29,9246.99,open
6,1,1,1,1,1,QB-001-01-W02,2026-03-28,2026-03-22,2026-03-28,3121,3121,35.74,35.74,111544.54,open
7,1,4,4,1,1,QB-001-04-W02,2026-03-28,2026-03-22,2026-03-28,3608,3608,6.98,6.98,25183.84,open
8,1,7,7,1,1,QB-001-07-W02,2026-03-28,2026-03-22,2026-03-28,56,56,937.94,937.94,52524.64,open
9,1,6,6,1,1,QB-001-06-W02,2026-03-28,2026-03-22,2026-03-28,113,113,39.06,39.06,4413.78,open
10,1,10,10,1,1,QB-001-10-W02,2026-03-28,2026-03-22,2026-03-28,29,29,240.82,240.82,6983.78,open
11,1,1,1,2,1,QB-002-01-W01,2026-03-21,2026-03-15,2026-03-21,2826,2826,35.74,35.74,101001.24,open
12,1,4,4,2,1,QB-002-04-W01,2026-03-21,2026-03-15,2026-03-21,3151,3151,6.98,6.98,21993.98,open
13,1,8,8,2,1,QB-002-08-W01,2026-03-21,2026-03-15,2026-03-21,78,78,1088.48,1088.48,84901.44,open
14,1,5,5,2,1,QB-002-05-W01,2026-03-21,2026-03-15,2026-03-21,129,129,34.29,34.29,4423.41,open
15,1,9,9,2,1,QB-002-09-W01,2026-03-21,2026-03-15,2026-03-21,33,33,298.29,298.29,9843.57,open
16,1,1,1,2,1,QB-002-01-W02,2026-03-28,2026-03-22,2026-03-28,2400,2400,35.74,35.74,85776.0,open
17,1,3,3,2,1,QB-002-03-W02,2026-03-28,2026-03-22,2026-03-28,3012,3012,6.47,6.47,19487.64,open
18,1,8,8,2,1,QB-002-08-W02,2026-03-28,2026-03-22,2026-03-28,60,60,1088.48,1088.48,65308.8,open
19,1,6,6,2,1,QB-002-06-W02,2026-03-28,2026-03-22,2026-03-28,126,126,39.06,39.06,4921.56,open
20,1,10,10,2,1,QB-002-10-W02,2026-03-28,2026-03-22,2026-03-28,27,27,240.82,240.82,6502.14,open
21,1,2,2,3,1,QB-003-02-W01,2026-03-21,2026-03-15,2026-03-21,1921,1921,39.89,39.89,76628.69,open
22,1,4,4,3,1,QB-003-04-W01,2026-03-21,2026-03-15,2026-03-21,2359,2359,6.98,6.98,16465.82,open
23,1,7,7,3,1,QB-003-07-W01,2026-03-21,2026-03-15,2026-03-21,63,55,937.94,937.94,59090.22,open
24,1,6,6,3,1,QB-003-06-W01,2026-03-21,2026-03-15,2026-03-21,114,114,39.06,39.06,4452.84,open
25,1,9,9,3,1,QB-003-09-W01,2026-03-21,2026-03-15,2026-03-21,24,24,298.29,298.29,7158.96,open
26,1,1,1,3,1,QB-003-01-W02,2026-03-28,2026-03-22,2026-03-28,1664,1664,35.74,35.74,59471.36,open
27,1,3,3,3,1,QB-003-03-W02,2026-03-28,2026-03-22,2026-03-28,2303,2303,6.47,6.47,14900.41,open
28,1,7,7,3,1,QB-003-07-W02,2026-03-28,2026-03-22,2026-03-28,55,55,937.94,937.94,51586.7,open
29,1,5,5,3,1,QB-003-05-W02,2026-03-28,2026-03-22,2026-03-28,157,157,34.29,34.29,5383.53,open
30,1,10,10,3,1,QB-003-10-W02,2026-03-28,2026-03-22,2026-03-28,23,23,240.82,240.82,5538.86,open
31,1,2,2,4,1,QB-004-02-W01,2026-03-21,2026-03-15,2026-03-21,2472,2472,39.89,39.89,98608.08,open
32,1,4,4,4,1,QB-004-04-W01,2026-03-21,2026-03-15,2026-03-21,3307,3307,6.98,6.98,23082.86,open
33,1,7,7,4,1,QB-004-07-W01,2026-03-21,2026-03-15,2026-03-21,64,64,937.94,937.94,60028.16,open
34,1,6,6,4,1,QB-004-06-W01,2026-03-21,2026-03-15,2026-03-21,115,115,39.06,39.06,4491.9,open
35,1,9,9,4,1,QB-004-09-W01,2026-03-21,2026-03-15,2026-03-21,20,20,298.29,298.29,5965.8,open
36,1,2,2,4,1,QB-004-02-W02,2026-03-28,2026-03-22,2026-03-28,2627,2627,39.89,39.89,104791.03,open
37,1,4,4,4,1,QB-004-04-W02,2026-03-28,2026-03-22,2026-03-28,3387,3387,6.98,6.98,23641.26,open
38,1,8,8,4,1,QB-004-08-W02,2026-03-28,2026-03-22,2026-03-28,48,43,1088.48,1088.48,52247.04,open
39,1,5,5,4,1,QB-004-05-W02,2026-03-28,2026-03-22,2026-03-28,190,190,34.29,34.29,6515.1,open
40,1,10,10,4,1,QB-004-10-W02,2026-03-28,2026-03-22,2026-03-28,25,25,240.82,240.82,6020.5,open
41,1,2,2,5,1,QB-005-02-W01,2026-03-21,2026-03-15,2026-03-21,1426,1426,39.89,39.89,56883.14,open
42,1,3,3,5,1,QB-005-03-W01,2026-03-21,2026-03-15,2026-03-21,1911,1911,6.47,6.47,12364.17,open
43,1,7,7,5,1,QB-005-07-W01,2026-03-21,2026-03-15,2026-03-21,41,41,937.94,937.94,38455.54,open
44,1,6,6,5,1,QB-005-06-W01,2026-03-21,2026-03-15,2026-03-21,211,211,39.06,39.06,8241.66,open
45,1,10,10,5,1,QB-005-10-W01,2026-03-21,2026-03-15,2026-03-21,35,35,240.82,240.82,8428.7,open
46,1,1,1,5,1,QB-005-01-W02,2026-03-28,2026-03-22,2026-03-28,1502,1502,35.74,35.74,53681.48,open
47,1,4,4,5,1,QB-005-04-W02,2026-03-28,2026-03-22,2026-03-28,2046,2046,6.98,6.98,14281.08,open
48,1,7,7,5,1,QB-005-07-W02,2026-03-28,2026-03-22,2026-03-28,61,61,937.94,937.94,57214.34,open
49,1,5,5,5,1,QB-005-05-W02,2026-03-28,2026-03-22,2026-03-28,158,158,34.29,34.29,5417.82,open
50,1,9,9,5,1,QB-005-09-W02,2026-03-28,2026-03-22,2026-03-28,19,19,298.29,298.29,5667.51,open
51,1,1,1,6,1,QB-006-01-W01,2026-03-21,2026-03-15,2026-03-21,1876,1876,35.74,35.74,67048.24,open
52,1,3,3,6,1,QB-006-03-W01,2026-03-21,2026-03-15,2026-03-21,2190,2190,6.47,6.47,14169.3,open
53,1,8,8,6,1,QB-006-08-W01,2026-03-21,2026-03-15,2026-03-21,53,50,1088.48,1088.48,57689.44,open
54,1,6,6,6,1,QB-006-06-W01,2026-03-21,2026-03-15,2026-03-21,186,186,39.06,39.06,7265.16,open
55,1,9,9,6,1,QB-006-09-W01,2026-03-21,2026-03-15,2026-03-21,18,18,298.29,298.29,5369.22,open
56,1,1,1,6,1,QB-006-01-W02,2026-03-28,2026-03-22,2026-03-28,1806,1806,35.74,35.74,64546.44,open
57,1,3,3,6,1,QB-006-03-W02,2026-03-28,2026-03-22,2026-03-28,2099,2099,6.47,6.47,13580.53,open
58,1,8,8,6,1,QB-006-08-W02,2026-03-28,2026-03-22,2026-03-28,84,78,1088.48,1088.48,91432.32,open
59,1,5,5,6,1,QB-006-05-W02,2026-03-28,2026-03-22,2026-03-28,129,129,34.29,34.29,4423.41,open
60,1,9,9,6,1,QB-006-09-W02,2026-03-28,2026-03-22,2026-03-28,21,21,298.29,298.29,6264.09,open
61,1,1,1,7,1,QB-007-01-W01,2026-03-21,2026-03-15,2026-03-21,2274,2274,35.74,35.74,81272.76,open
62,1,3,3,7,1,QB-007-03-W01,2026-03-21,2026-03-15,2026-03-21,3000,3000,6.47,6.47,19410.0,open
63,1,8,8,7,1,QB-007-08-W01,2026-03-21,2026-03-15,2026-03-21,76,76,1088.48,1088.48,82724.48,open
64,1,5,5,7,1,QB-007-05-W01,2026-03-21,2026-03-15,2026-03-21,197,197,34.29,34.29,6755.13,open
65,1,10,10,7,1,QB-007-10-W01,2026-03-21,2026-03-15,2026-03-21,26,26,240.82,240.82,6261.32,open
66,1,1,1,7,1,QB-007-01-W02,2026-03-28,2026-03-22,2026-03-28,2359,2359,35.74,35.74,84310.66,open
67,1,4,4,7,1,QB-007-04-W02,2026-03-28,2026-03-22,2026-03-28,2764,2764,6.98,6.98,19292.72,open
68,1,7,7,7,1,QB-007-07-W02,2026-03-28,2026-03-22,2026-03-28,77,77,937.94,937.94,72221.38,open
69,1,5,5,7,1,QB-007-05-W02,2026-03-28,2026-03-22,2026-03-28,184,184,34.29,34.29,6309.36,open
70,1,10,10,7,1,QB-007-10-W02,2026-03-28,2026-03-22,2026-03-28,42,42,240.82,240.82,10114.44,open
71,1,2,2,8,2,QB-008-02-W01,2026-03-21,2026-03-15,2026-03-21,1476,1283,39.89,39.89,58877.64,open
72,1,3,3,8,2,QB-008-03-W01,2026-03-21,2026-03-15,2026-03-21,1652,1652,6.47,6.47,10688.44,open
73,1,7,7,8,2,QB-008-07-W01,2026-03-21,2026-03-15,2026-03-21,77,77,937.94,937.94,72221.38,open
74,1,6,6,8,2,QB-008-06-W01,2026-03-21,2026-03-15,2026-03-21,166,166,39.06,39.06,6483.96,open
75,1,9,9,8,2,QB-008-09-W01,2026-03-21,2026-03-15,2026-03-21,27,27,298.29,298.29,8053.83,open
76,1,2,2,8,2,QB-008-02-W02,2026-03-28,2026-03-22,2026-03-28,1221,1221,39.89,39.89,48705.69,open
77,1,4,4,8,2,QB-008-04-W02,2026-03-28,2026-03-22,2026-03-28,1546,1546,6.98,6.98,10791.08,open
78,1,7,7,8,2,QB-008-07-W02,2026-03-28,2026-03-22,2026-03-28,65,65,937.94,937.94,60966.1,open
79,1,6,6,8,2,QB-008-06-W02,2026-03-28,2026-03-22,2026-03-28,180,180,39.06,39.06,7030.8,open
80,1,10,10,8,2,QB-008-10-W02,2026-03-28,2026-03-22,2026-03-28,28,28,240.82,240.82,6742.96,open
81,1,2,2,9,2,QB-009-02-W01,2026-03-21,2026-03-15,2026-03-21,2474,2474,39.89,39.89,98687.86,open
82,1,3,3,9,2,QB-009-03-W01,2026-03-21,2026-03-15,2026-03-21,2827,2827,6.47,6.47,18290.69,open
83,1,8,8,9,2,QB-009-08-W01,2026-03-21,2026-03-15,2026-03-21,59,59,1088.48,1088.48,64220.32,open
84,1,6,6,9,2,QB-009-06-W01,2026-03-21,2026-03-15,2026-03-21,103,103,39.06,39.06,4023.18,open
85,1,9,9,9,2,QB-009-09-W01,2026-03-21,2026-03-15,2026-03-21,18,18,298.29,298.29,5369.22,open
86,1,2,2,9,2,QB-009-02-W02,2026-03-28,2026-03-22,2026-03-28,2343,2343,39.89,39.89,93462.27,open
87,1,3,3,9,2,QB-009-03-W02,2026-03-28,2026-03-22,2026-03-28,2880,2880,6.47,6.47,18633.6,open
88,1,7,7,9,2,QB-009-07-W02,2026-03-28,2026-03-22,2026-03-28,67,67,937.94,937.94,62841.98,open
89,1,6,6,9,2,QB-009-06-W02,2026-03-28,2026-03-22,2026-03-28,185,185,39.06,39.06,7226.1,open
90,1,9,9,9,2,QB-009-09-W02,2026-03-28,2026-03-22,2026-03-28,22,22,298.29,298.29,6562.38,open
91,1,2,2,10,2,QB-010-02-W01,2026-03-21,2026-03-15,2026-03-21,2809,2809,39.89,39.89,112051.01,open
92,1,3,3,10,2,QB-010-03-W01,2026-03-21,2026-03-15,2026-03-21,3670,3670,6.47,6.47,23744.9,open
93,1,8,8,10,2,QB-010-08-W01,2026-03-21,2026-03-15,2026-03-21,69,69,1088.48,1088.48,75105.12,open
94,1,5,5,10,2,QB-010-05-W01,2026-03-21,2026-03-15,2026-03-21,120,120,34.29,34.29,4114.8,open
95,1,10,10,10,2,QB-010-10-W01,2026-03-21,2026-03-15,2026-03-21,24,24,240.82,240.82,5779.68,open
