work_item_id,org_id,city_id,store_id,team_id,item_type,priority,opened_at,expected_by,resolved_at,status,estimated_value_inr,backlog_hours,linked_order_id,linked_vendor_id
1,1,2,12,51,delivery_exception,P2,2026-03-26T12:25:00+05:30,2026-03-26T14:25:00+05:30,2026-03-26T15:20:00+05:30,resolved,430.69,0.5,120068,
2,1,1,4,27,delivery_exception,P2,2026-03-18T12:17:00+05:30,2026-03-18T14:17:00+05:30,2026-03-18T14:29:00+05:30,resolved,565.97,0.5,32887,
3,1,3,19,72,delivery_exception,P2,2026-03-24T12:06:00+05:30,2026-03-24T14:06:00+05:30,2026-03-24T17:11:00+05:30,resolved,925.27,0.5,102084,
4,1,3,19,72,delivery_exception,P2,2026-03-18T12:27:00+05:30,2026-03-18T14:27:00+05:30,2026-03-18T15:22:00+05:30,resolved,76.82,0.5,37587,
5,1,1,2,5,customer_escalation,P1,2026-03-16T12:44:00+05:30,2026-03-16T13:44:00+05:30,2026-03-16T16:28:00+05:30,resolved,410.79,0.5,12305,
6,1,1,5,30,delivery_exception,P2,2026-03-22T12:07:00+05:30,2026-03-22T14:07:00+05:30,2026-03-22T17:10:00+05:30,resolved,184.56,0.5,77311,
7,1,2,10,7,customer_escalation,P1,2026-03-17T12:00:00+05:30,2026-03-17T13:00:00+05:30,2026-03-17T14:20:00+05:30,resolved,198.42,0.5,24827,
8,1,4,22,81,delivery_exception,P2,2026-03-16T12:10:00+05:30,2026-03-16T14:10:00+05:30,2026-03-16T16:35:00+05:30,resolved,837.43,0.5,18583,
9,1,4,21,78,delivery_exception,P2,2026-03-18T12:16:00+05:30,2026-03-18T14:16:00+05:30,2026-03-18T15:51:00+05:30,resolved,580.81,0.5,38268,
10,1,5,29,102,delivery_exception,P2,2026-03-24T12:30:00+05:30,2026-03-24T14:30:00+05:30,2026-03-24T17:08:00+05:30,resolved,187.45,0.5,104626,
11,1,1,4,27,delivery_exception,P2,2026-03-18T12:22:00+05:30,2026-03-18T14:22:00+05:30,2026-03-18T14:41:00+05:30,resolved,396.46,0.5,32847,
12,1,1,2,21,delivery_exception,P2,2026-03-28T12:22:00+05:30,2026-03-28T14:22:00+05:30,2026-03-28T17:10:00+05:30,resolved,469.95,0.5,138980,
13,1,1,5,30,delivery_exception,P2,2026-03-22T12:20:00+05:30,2026-03-22T14:20:00+05:30,2026-03-22T15:31:00+05:30,resolved,173.13,0.5,77121,
14,1,3,17,9,customer_escalation,P1,2026-03-22T12:41:00+05:30,2026-03-22T13:41:00+05:30,2026-03-22T16:18:00+05:30,resolved,556.48,0.5,81578,
15,1,2,12,51,delivery_exception,P2,2026-03-20T12:13:00+05:30,2026-03-20T14:13:00+05:30,2026-03-20T17:29:00+05:30,resolved,467.78,0.5,56830,
16,1,1,6,33,delivery_exception,P2,2026-03-27T12:28:00+05:30,2026-03-27T14:28:00+05:30,2026-03-27T15:09:00+05:30,resolved,297.07,0.5,128868,
17,1,3,19,72,delivery_exception,P2,2026-03-18T12:40:00+05:30,2026-03-18T14:40:00+05:30,2026-03-18T15:36:00+05:30,resolved,1208.19,0.5,37878,
18,1,2,13,54,delivery_exception,P2,2026-03-17T12:02:00+05:30,2026-03-17T14:02:00+05:30,2026-03-17T15:34:00+05:30,resolved,481.43,0.5,25873,
19,1,1,7,36,delivery_exception,P2,2026-03-27T12:30:00+05:30,2026-03-27T14:30:00+05:30,,open,345.72,0.5,129413,
20,1,1,4,27,delivery_exception,P2,2026-03-18T12:39:00+05:30,2026-03-18T14:39:00+05:30,2026-03-18T14:57:00+05:30,resolved,285.08,0.5,32793,
21,1,3,17,66,delivery_exception,P2,2026-03-26T12:27:00+05:30,2026-03-26T14:27:00+05:30,2026-03-26T15:59:00+05:30,resolved,280.39,0.5,122009,
22,1,1,5,30,delivery_exception,P2,2026-03-15T12:21:00+05:30,2026-03-15T14:21:00+05:30,2026-03-15T17:39:00+05:30,resolved,539.3,0.5,2170,
23,1,2,11,48,delivery_exception,P2,2026-03-19T12:31:00+05:30,2026-03-19T14:31:00+05:30,2026-03-19T16:24:00+05:30,resolved,193.14,0.5,45877,
24,1,4,22,81,delivery_exception,P2,2026-03-16T12:02:00+05:30,2026-03-16T14:02:00+05:30,2026-03-16T15:17:00+05:30,resolved,491.44,0.5,18610,
25,1,3,18,69,delivery_exception,P2,2026-03-18T12:08:00+05:30,2026-03-18T14:08:00+05:30,2026-03-18T14:30:00+05:30,resolved,1111.24,0.5,37471,
26,1,3,19,72,delivery_exception,P2,2026-03-24T12:15:00+05:30,2026-03-24T14:15:00+05:30,2026-03-24T15:25:00+05:30,resolved,413.5,0.5,102186,
27,1,1,2,21,delivery_exception,P2,2026-03-28T12:26:00+05:30,2026-03-28T14:26:00+05:30,,open,669.23,0.5,139232,
28,1,4,22,81,delivery_exception,P2,2026-03-18T12:19:00+05:30,2026-03-18T14:19:00+05:30,2026-03-18T16:53:00+05:30,resolved,716.94,0.5,38628,
29,1,1,2,21,delivery_exception,P2,2026-03-18T12:26:00+05:30,2026-03-18T14:26:00+05:30,2026-03-18T17:46:00+05:30,resolved,1088.05,0.5,31922,
30,1,3,19,72,delivery_exception,P2,2026-03-18T12:02:00+05:30,2026-03-18T14:02:00+05:30,2026-03-18T15:07:00+05:30,resolved,90.59,0.5,37723,
31,1,1,2,21,delivery_exception,P2,2026-03-18T12:21:00+05:30,2026-03-18T14:21:00+05:30,2026-03-18T16:12:00+05:30,resolved,137.0,0.5,32142,
32,1,2,13,54,delivery_exception,P2,2026-03-17T12:09:00+05:30,2026-03-17T14:09:00+05:30,2026-03-17T15:49:00+05:30,resolved,87.18,0.5,26060,
33,1,1,1,18,delivery_exception,P2,2026-03-23T12:22:00+05:30,2026-03-23T14:22:00+05:30,2026-03-23T14:40:00+05:30,resolved,247.25,0.5,86755,
34,1,1,5,30,delivery_exception,P2,2026-03-27T12:23:00+05:30,2026-03-27T14:23:00+05:30,2026-03-27T17:34:00+05:30,resolved,84.31,0.5,128323,
35,1,1,4,27,delivery_exception,P2,2026-03-18T12:45:00+05:30,2026-03-18T14:45:00+05:30,2026-03-18T15:52:00+05:30,resolved,336.25,0.5,33172,
36,1,2,13,54,delivery_exception,P2,2026-03-17T12:22:00+05:30,2026-03-17T14:22:00+05:30,2026-03-17T17:30:00+05:30,resolved,569.52,0.5,26038,
37,1,2,9,42,delivery_exception,P2,2026-03-27T12:00:00+05:30,2026-03-27T14:00:00+05:30,,open,302.3,0.5,129912,
38,1,3,16,63,delivery_exception,P2,2026-03-28T12:02:00+05:30,2026-03-28T14:02:00+05:30,,open,639.01,0.5,144392,
39,1,2,13,54,delivery_exception,P2,2026-03-17T12:30:00+05:30,2026-03-17T14:30:00+05:30,2026-03-17T15:31:00+05:30,resolved,352.23,0.5,25894,
40,1,2,13,7,customer_escalation,P1,2026-03-20T12:39:00+05:30,2026-03-20T13:39:00+05:30,2026-03-20T16:07:00+05:30,resolved,158.29,0.5,57004,
41,1,4,21,78,delivery_exception,P2,2026-03-18T12:11:00+05:30,2026-03-18T14:11:00+05:30,2026-03-18T16:10:00+05:30,resolved,1153.53,0.5,38205,
42,1,2,12,51,delivery_exception,P2,2026-03-20T12:13:00+05:30,2026-03-20T14:13:00+05:30,2026-03-20T16:15:00+05:30,resolved,323.22,0.5,56718,
43,1,1,5,30,delivery_exception,P2,2026-03-22T12:09:00+05:30,2026-03-22T14:09:00+05:30,2026-03-22T16:37:00+05:30,resolved,924.35,0.5,77252,
44,1,3,16,63,delivery_exception,P2,2026-03-22T12:41:00+05:30,2026-03-22T14:41:00+05:30,2026-03-22T17:12:00+05:30,resolved,277.42,0.5,81121,
45,1,2,9,42,delivery_exception,P2,2026-03-27T12:34:00+05:30,2026-03-27T14:34:00+05:30,,open,799.08,0.5,129791,
46,1,3,20,75,delivery_exception,P2,2026-03-19T12:22:00+05:30,2026-03-19T14:22:00+05:30,2026-03-19T15:34:00+05:30,resolved,847.22,0.5,48487,
47,1,3,16,63,delivery_exception,P2,2026-03-26T12:19:00+05:30,2026-03-26T14:19:00+05:30,2026-03-26T17:48:00+05:30,resolved,475.07,0.5,121884,
48,1,4,22,81,delivery_exception,P2,2026-03-18T12:02:00+05:30,2026-03-18T14:02:00+05:30,2026-03-18T16:39:00+05:30,resolved,628.46,0.5,38644,
49,1,2,14,57,delivery_exception,P2,2026-03-28T12:12:00+05:30,2026-03-28T14:12:00+05:30,,open,888.41,0.5,143651,
50,1,6,33,114,delivery_exception,P2,2026-03-19T12:31:00+05:30,2026-03-19T14:31:00+05:30,2026-03-19T15:15:00+05:30,resolved,559.68,0.5,51788,
51,1,2,11,48,delivery_exception,P2,2026-03-22T12:00:00+05:30,2026-03-22T14:00:00+05:30,2026-03-22T15:03:00+05:30,resolved,387.17,0.5,79553,
