anomaly_id,entity_type,entity_id,anomaly_type,module,severity,start_ts,end_ts,projected_impact_inr,realized_impact_inr,formula_name,formula_inputs_json,root_cause,recommended_action,required_team_type,required_role,expected_approver_role
A-2,work_item,2,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-27T12:04:00+05:30,2026-03-27T13:30:00+05:30,728.69,206.56,driver_shortage_loss,"{""delay_minutes"": 12, ""basket_value_inr"": 530.38, ""cancelled"": true, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-3,work_item,3,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:31:00+05:30,,789.3,,driver_shortage_loss,"{""delay_minutes"": 13, ""basket_value_inr"": 535.49, ""cancelled"": false, ""reason"": ""rider_shortage""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-4,work_item,4,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-28T12:29:00+05:30,2026-03-28T13:47:00+05:30,524.11,167.99,driver_shortage_loss,"{""delay_minutes"": 17, ""basket_value_inr"": 475.76, ""cancelled"": true, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-5,work_item,5,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:17:00+05:30,,592.54,,driver_shortage_loss,"{""delay_minutes"": 15, ""basket_value_inr"": 691.14, ""cancelled"": false, ""reason"": ""inventory_substitution""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-6,work_item,6,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:08:00+05:30,,1367.29,,driver_shortage_loss,"{""delay_minutes"": 12, ""basket_value_inr"": 876.88, ""cancelled"": false, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-7,work_item,7,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:09:00+05:30,,696.79,,driver_shortage_loss,"{""delay_minutes"": 12, ""basket_value_inr"": 635.24, ""cancelled"": false, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-8,work_item,8,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-28T12:15:00+05:30,2026-03-28T15:59:00+05:30,393.32,107.79,driver_shortage_loss,"{""delay_minutes"": 18, ""basket_value_inr"": 250.86, ""cancelled"": true, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-12,work_item,12,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:40:00+05:30,,711.8,,driver_shortage_loss,"{""delay_minutes"": 14, ""basket_value_inr"": 660.93, ""cancelled"": false, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-14,work_item,14,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:34:00+05:30,,1208.45,,driver_shortage_loss,"{""delay_minutes"": 17, ""basket_value_inr"": 800.23, ""cancelled"": false, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-17,work_item,17,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:31:00+05:30,,1158.28,,driver_shortage_loss,"{""delay_minutes"": 13, ""basket_value_inr"": 721.1, ""cancelled"": false, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-19,work_item,19,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:23:00+05:30,,970.43,,driver_shortage_loss,"{""delay_minutes"": 16, ""basket_value_inr"": 648.76, ""cancelled"": false, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-22,work_item,22,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:19:00+05:30,,1133.62,,driver_shortage_loss,"{""delay_minutes"": 11, ""basket_value_inr"": 801.7, ""cancelled"": false, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-24,work_item,24,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:10:00+05:30,,1158.12,,driver_shortage_loss,"{""delay_minutes"": 15, ""basket_value_inr"": 884.79, ""cancelled"": false, ""reason"": ""rider_shortage""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-27,work_item,27,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:21:00+05:30,,590.94,,driver_shortage_loss,"{""delay_minutes"": 11, ""basket_value_inr"": 447.3, ""cancelled"": false, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-28,work_item,28,driver_shortage_peak_window,SLA Sentinel,critical,2026-03-28T12:01:00+05:30,2026-03-28T15:50:00+05:30,854.83,303.58,driver_shortage_loss,"{""delay_minutes"": 11, ""basket_value_inr"": 1035.6, ""cancelled"": true, ""reason"": ""delivery_delay""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-29,work_item,29,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:31:00+05:30,,341.05,,driver_shortage_loss,"{""delay_minutes"": 12, ""basket_value_inr"": 334.64, ""cancelled"": false, ""reason"": ""rain""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-34,work_item,34,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:39:00+05:30,,532.81,,driver_shortage_loss,"{""delay_minutes"": 11, ""basket_value_inr"": 612.5, ""cancelled"": false, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-36,work_item,36,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:36:00+05:30,,101.23,,driver_shortage_loss,"{""delay_minutes"": 16, ""basket_value_inr"": 90, ""cancelled"": false, ""reason"": ""rider_shortage""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-37,work_item,37,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:03:00+05:30,,439.34,,driver_shortage_loss,"{""delay_minutes"": 16, ""basket_value_inr"": 510.04, ""cancelled"": false, ""reason"": ""traffic""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-39,work_item,39,driver_shortage_peak_window,SLA Sentinel,high,2026-03-28T12:19:00+05:30,,423.04,,driver_shortage_loss,"{""delay_minutes"": 11, ""basket_value_inr"": 474.92, ""cancelled"": false, ""reason"": ""store_backlog""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-40,work_item,40,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:32:00+05:30,,331.15,,driver_shortage_loss,"{""delay_minutes"": 11, ""basket_value_inr"": 309.16, ""cancelled"": false, ""reason"": ""store_backlog""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
A-43,work_item,43,driver_shortage_peak_window,SLA Sentinel,high,2026-03-27T12:42:00+05:30,,1154.6,,driver_shortage_loss,"{""delay_minutes"": 11, ""basket_value_inr"": 751.99, ""cancelled"": false, ""reason"": ""store_backlog""}",Driver capacity fell short during a peak or disrupted delivery window.,reroute_fleet_capacity,fleet_ops,fleet_manager,city_ops_manager
