snapshot_id,snapshot_ts,store_id,city_id,resource_type,resource_name,active_units,provisioned_units,utilization_pct,monthly_cost_inr,shift_staff_present,shift_staff_planned
1,2026-03-27T07:44:00+05:30,1,1,picker_capacity,Bengaluru HSR DS-1 Picker Capacity,9,11,81.82,357000,9,11
2,2026-03-27T07:44:00+05:30,1,1,packer_capacity,Bengaluru HSR DS-1 Packer Capacity,5,7,71.43,245000,5,7
3,2026-03-27T07:44:00+05:30,1,1,driver_capacity,Bengaluru HSR DS-1 Driver Capacity,24,27,88.89,614000,24,27
4,2026-03-27T07:44:00+05:30,1,1,dispatch_bays,Bengaluru HSR DS-1 Dispatch Bays,5,5,100.0,162000,24,27
5,2026-03-27T07:44:00+05:30,1,1,cold_storage,Bengaluru HSR DS-1 Cold Storage,185,290,63.79,209400,14,18
6,2026-03-27T07:44:00+05:30,1,1,saas_licenses,Bengaluru HSR DS-1 Operations SaaS Seats,15,24,62.5,52440,14,18
7,2026-03-27T07:27:00+05:30,2,1,picker_capacity,Bengaluru Indiranagar DS-2 Picker Capacity,11,13,84.62,381000,11,13
8,2026-03-27T07:27:00+05:30,2,1,packer_capacity,Bengaluru Indiranagar DS-2 Packer Capacity,8,9,88.89,263000,8,9
9,2026-03-27T07:27:00+05:30,2,1,driver_capacity,Bengaluru Indiranagar DS-2 Driver Capacity,22,26,84.62,606000,22,26
10,2026-03-27T07:27:00+05:30,2,1,dispatch_bays,Bengaluru Indiranagar DS-2 Dispatch Bays,5,5,100.0,162000,22,26
11,2026-03-27T07:27:00+05:30,2,1,cold_storage,Bengaluru Indiranagar DS-2 Cold Storage,309,375,82.4,231500,19,22
12,2026-03-27T07:27:00+05:30,2,1,saas_licenses,Bengaluru Indiranagar DS-2 Operations SaaS Seats,21,28,75.0,53680,19,22
13,2026-03-27T07:43:00+05:30,3,1,picker_capacity,Bengaluru Whitefield DS-3 Picker Capacity,9,10,90.0,345000,9,10
14,2026-03-27T07:43:00+05:30,3,1,packer_capacity,Bengaluru Whitefield DS-3 Packer Capacity,6,7,85.71,245000,6,7
15,2026-03-27T07:43:00+05:30,3,1,driver_capacity,Bengaluru Whitefield DS-3 Driver Capacity,27,31,87.1,646000,27,31
16,2026-03-27T07:43:00+05:30,3,1,dispatch_bays,Bengaluru Whitefield DS-3 Dispatch Bays,5,5,100.0,162000,27,31
17,2026-03-27T07:43:00+05:30,3,1,cold_storage,Bengaluru Whitefield DS-3 Cold Storage,269,298,90.27,211480,15,17
18,2026-03-27T07:43:00+05:30,3,1,saas_licenses,Bengaluru Whitefield DS-3 Operations SaaS Seats,19,23,82.61,52130,15,17
19,2026-03-27T07:43:00+05:30,4,1,picker_capacity,Bengaluru Koramangala DS-4 Picker Capacity,8,10,80.0,345000,8,10
20,2026-03-27T07:43:00+05:30,4,1,packer_capacity,Bengaluru Koramangala DS-4 Packer Capacity,6,7,85.71,245000,6,7
21,2026-03-27T07:43:00+05:30,4,1,driver_capacity,Bengaluru Koramangala DS-4 Driver Capacity,23,26,88.46,606000,23,26
22,2026-03-27T07:43:00+05:30,4,1,dispatch_bays,Bengaluru Koramangala DS-4 Dispatch Bays,5,5,100.0,162000,23,26
23,2026-03-27T07:43:00+05:30,4,1,cold_storage,Bengaluru Koramangala DS-4 Cold Storage,171,226,75.66,192760,14,17
24,2026-03-27T07:43:00+05:30,4,1,saas_licenses,Bengaluru Koramangala DS-4 Operations SaaS Seats,16,23,69.57,52130,14,17
25,2026-03-27T07:23:00+05:30,5,1,picker_capacity,Bengaluru Hebbal DS-5 Picker Capacity,7,8,87.5,321000,7,8
26,2026-03-27T07:23:00+05:30,5,1,packer_capacity,Bengaluru Hebbal DS-5 Packer Capacity,2,4,50.0,218000,2,4
27,2026-03-27T07:23:00+05:30,5,1,driver_capacity,Bengaluru Hebbal DS-5 Driver Capacity,13,16,81.25,526000,13,16
28,2026-03-27T07:23:00+05:30,5,1,dispatch_bays,Bengaluru Hebbal DS-5 Dispatch Bays,3,3,100.0,130000,13,16
29,2026-03-27T07:23:00+05:30,5,1,cold_storage,Bengaluru Hebbal DS-5 Cold Storage,173,204,84.8,187040,9,12
30,2026-03-27T07:23:00+05:30,5,1,saas_licenses,Bengaluru Hebbal DS-5 Operations SaaS Seats,15,18,83.33,50580,9,12
31,2026-03-27T07:04:00+05:30,6,1,picker_capacity,Bengaluru Jayanagar DS-6 Picker Capacity,8,10,80.0,345000,8,10
32,2026-03-27T07:04:00+05:30,6,1,packer_capacity,Bengaluru Jayanagar DS-6 Packer Capacity,3,4,75.0,218000,3,4
33,2026-03-27T07:04:00+05:30,6,1,driver_capacity,Bengaluru Jayanagar DS-6 Driver Capacity,19,22,86.36,574000,19,22
34,2026-03-27T07:04:00+05:30,6,1,dispatch_bays,Bengaluru Jayanagar DS-6 Dispatch Bays,3,3,100.0,130000,19,22
35,2026-03-27T07:04:00+05:30,6,1,cold_storage,Bengaluru Jayanagar DS-6 Cold Storage,75,123,60.98,165980,11,14
36,2026-03-27T07:04:00+05:30,6,1,saas_licenses,Bengaluru Jayanagar DS-6 Operations SaaS Seats,16,20,80.0,51200,11,14
37,2026-03-27T07:27:00+05:30,7,1,picker_capacity,Bengaluru HSR DS-7 Picker Capacity,9,11,81.82,357000,9,11
38,2026-03-27T07:27:00+05:30,7,1,packer_capacity,Bengaluru HSR DS-7 Packer Capacity,9,10,90.0,272000,9,10
39,2026-03-27T07:27:00+05:30,7,1,driver_capacity,Bengaluru HSR DS-7 Driver Capacity,22,25,88.0,598000,22,25
40,2026-03-27T07:27:00+05:30,7,1,dispatch_bays,Bengaluru HSR DS-7 Dispatch Bays,5,5,100.0,162000,22,25
41,2026-03-27T07:27:00+05:30,7,1,cold_storage,Bengaluru HSR DS-7 Cold Storage,250,353,70.82,225780,18,21
42,2026-03-27T07:27:00+05:30,7,1,saas_licenses,Bengaluru HSR DS-7 Operations SaaS Seats,22,27,81.48,53370,18,21
43,2026-03-27T07:23:00+05:30,8,2,picker_capacity,Mumbai Powai DS-1 Picker Capacity,6,7,85.71,309000,6,7
44,2026-03-27T07:23:00+05:30,8,2,packer_capacity,Mumbai Powai DS-1 Packer Capacity,3,4,75.0,218000,3,4
45,2026-03-27T07:23:00+05:30,8,2,driver_capacity,Mumbai Powai DS-1 Driver Capacity,15,19,78.95,550000,15,19
46,2026-03-27T07:23:00+05:30,8,2,dispatch_bays,Mumbai Powai DS-1 Dispatch Bays,3,3,100.0,130000,15,19
47,2026-03-27T07:23:00+05:30,8,2,cold_storage,Mumbai Powai DS-1 Cold Storage,105,140,75.0,170400,9,11
48,2026-03-27T07:23:00+05:30,8,2,saas_licenses,Mumbai Powai DS-1 Operations SaaS Seats,11,17,64.71,50270,9,11
49,2026-03-27T07:44:00+05:30,9,2,picker_capacity,Mumbai Andheri DS-2 Picker Capacity,10,12,83.33,369000,10,12
50,2026-03-27T07:44:00+05:30,9,2,packer_capacity,Mumbai Andheri DS-2 Packer Capacity,9,10,90.0,272000,9,10
51,2026-03-27T07:44:00+05:30,9,2,driver_capacity,Mumbai Andheri DS-2 Driver Capacity,28,32,87.5,654000,28,32
52,2026-03-27T07:44:00+05:30,9,2,dispatch_bays,Mumbai Andheri DS-2 Dispatch Bays,5,5,100.0,162000,28,32
53,2026-03-27T07:44:00+05:30,9,2,cold_storage,Mumbai Andheri DS-2 Cold Storage,258,292,88.36,209920,19,22
54,2026-03-27T07:44:00+05:30,9,2,saas_licenses,Mumbai Andheri DS-2 Operations SaaS Seats,22,28,78.57,53680,19,22
55,2026-03-27T07:42:00+05:30,10,2,picker_capacity,Mumbai Bandra DS-3 Picker Capacity,15,17,88.24,429000,15,17
56,2026-03-27T07:42:00+05:30,10,2,packer_capacity,Mumbai Bandra DS-3 Packer Capacity,8,10,80.0,272000,8,10
57,2026-03-27T07:42:00+05:30,10,2,driver_capacity,Mumbai Bandra DS-3 Driver Capacity,34,37,91.89,694000,34,37
58,2026-03-27T07:42:00+05:30,10,2,dispatch_bays,Mumbai Bandra DS-3 Dispatch Bays,7,7,100.0,194000,34,37
59,2026-03-27T07:42:00+05:30,10,2,cold_storage,Mumbai Bandra DS-3 Cold Storage,275,417,65.95,242420,23,27
60,2026-03-27T07:42:00+05:30,10,2,saas_licenses,Mumbai Bandra DS-3 Operations SaaS Seats,26,33,78.79,55230,23,27
61,2026-03-27T07:39:00+05:30,11,2,picker_capacity,Mumbai Thane DS-4 Picker Capacity,7,9,77.78,333000,7,9
62,2026-03-27T07:39:00+05:30,11,2,packer_capacity,Mumbai Thane DS-4 Packer Capacity,5,6,83.33,236000,5,6
63,2026-03-27T07:39:00+05:30,11,2,driver_capacity,Mumbai Thane DS-4 Driver Capacity,21,24,87.5,590000,21,24
64,2026-03-27T07:39:00+05:30,11,2,dispatch_bays,Mumbai Thane DS-4 Dispatch Bays,3,3,100.0,130000,21,24
65,2026-03-27T07:39:00+05:30,11,2,cold_storage,Mumbai Thane DS-4 Cold Storage,89,124,71.77,166240,12,15
66,2026-03-27T07:39:00+05:30,11,2,saas_licenses,Mumbai Thane DS-4 Operations SaaS Seats,14,21,66.67,51510,12,15
67,2026-03-27T07:20:00+05:30,12,2,picker_capacity,Mumbai Ghatkopar DS-5 Picker Capacity,12,14,85.71,393000,12,14
68,2026-03-27T07:20:00+05:30,12,2,packer_capacity,Mumbai Ghatkopar DS-5 Packer Capacity,9,10,90.0,272000,9,10
69,2026-03-27T07:20:00+05:30,12,2,driver_capacity,Mumbai Ghatkopar DS-5 Driver Capacity,25,29,86.21,630000,25,29
70,2026-03-27T07:20:00+05:30,12,2,dispatch_bays,Mumbai Ghatkopar DS-5 Dispatch Bays,5,5,100.0,162000,25,29
71,2026-03-27T07:20:00+05:30,12,2,cold_storage,Mumbai Ghatkopar DS-5 Cold Storage,174,262,66.41,202120,21,24
72,2026-03-27T07:20:00+05:30,12,2,saas_licenses,Mumbai Ghatkopar DS-5 Operations SaaS Seats,26,30,86.67,54300,21,24
73,2026-03-27T07:30:00+05:30,13,2,picker_capacity,Mumbai Navi Mumbai DS-6 Picker Capacity,9,10,90.0,345000,9,10
74,2026-03-27T07:30:00+05:30,13,2,packer_capacity,Mumbai Navi Mumbai DS-6 Packer Capacity,8,9,88.89,263000,8,9
75,2026-03-27T07:30:00+05:30,13,2,driver_capacity,Mumbai Navi Mumbai DS-6 Driver Capacity,25,29,86.21,630000,25,29
76,2026-03-27T07:30:00+05:30,13,2,dispatch_bays,Mumbai Navi Mumbai DS-6 Dispatch Bays,5,5,100.0,162000,25,29
77,2026-03-27T07:30:00+05:30,13,2,cold_storage,Mumbai Navi Mumbai DS-6 Cold Storage,236,275,85.82,205500,17,19
78,2026-03-27T07:30:00+05:30,13,2,saas_licenses,Mumbai Navi Mumbai DS-6 Operations SaaS Seats,22,25,88.0,52750,17,19
79,2026-03-27T07:10:00+05:30,14,2,picker_capacity,Mumbai Powai DS-7 Picker Capacity,8,10,80.0,345000,8,10
80,2026-03-27T07:10:00+05:30,14,2,packer_capacity,Mumbai Powai DS-7 Packer Capacity,7,8,87.5,254000,7,8
81,2026-03-27T07:10:00+05:30,14,2,driver_capacity,Mumbai Powai DS-7 Driver Capacity,22,26,84.62,606000,22,26
82,2026-03-27T07:10:00+05:30,14,2,dispatch_bays,Mumbai Powai DS-7 Dispatch Bays,5,5,100.0,162000,22,26
83,2026-03-27T07:10:00+05:30,14,2,cold_storage,Mumbai Powai DS-7 Cold Storage,196,283,69.26,207580,15,18
84,2026-03-27T07:10:00+05:30,14,2,saas_licenses,Mumbai Powai DS-7 Operations SaaS Seats,15,24,62.5,52440,15,18
85,2026-03-27T07:22:00+05:30,15,3,picker_capacity,Delhi NCR Gurugram DS-1 Picker Capacity,9,10,90.0,345000,9,10
86,2026-03-27T07:22:00+05:30,15,3,packer_capacity,Delhi NCR Gurugram DS-1 Packer Capacity,9,10,90.0,272000,9,10
87,2026-03-27T07:22:00+05:30,15,3,driver_capacity,Delhi NCR Gurugram DS-1 Driver Capacity,27,31,87.1,646000,27,31
88,2026-03-27T07:22:00+05:30,15,3,dispatch_bays,Delhi NCR Gurugram DS-1 Dispatch Bays,5,5,100.0,162000,27,31
89,2026-03-27T07:22:00+05:30,15,3,cold_storage,Delhi NCR Gurugram DS-1 Cold Storage,207,240,86.25,196400,18,20
90,2026-03-27T07:22:00+05:30,15,3,saas_licenses,Delhi NCR Gurugram DS-1 Operations SaaS Seats,19,26,73.08,53060,18,20
91,2026-03-27T07:39:00+05:30,16,3,picker_capacity,Delhi NCR Noida DS-2 Picker Capacity,7,8,87.5,321000,7,8
92,2026-03-27T07:39:00+05:30,16,3,packer_capacity,Delhi NCR Noida DS-2 Packer Capacity,3,4,75.0,218000,3,4
93,2026-03-27T07:39:00+05:30,16,3,driver_capacity,Delhi NCR Noida DS-2 Driver Capacity,14,18,77.78,542000,14,18
94,2026-03-27T07:39:00+05:30,16,3,dispatch_bays,Delhi NCR Noida DS-2 Dispatch Bays,3,3,100.0,130000,14,18
95,2026-03-27T07:39:00+05:30,16,3,cold_storage,Delhi NCR Noida DS-2 Cold Storage,119,192,61.98,183920,10,12
96,2026-03-27T07:39:00+05:30,16,3,saas_licenses,Delhi NCR Noida DS-2 Operations SaaS Seats,13,18,72.22,50580,10,12
97,2026-03-27T07:12:00+05:30,17,3,picker_capacity,Delhi NCR Dwarka DS-3 Picker Capacity,5,7,71.43,309000,5,7
98,2026-03-27T07:12:00+05:30,17,3,packer_capacity,Delhi NCR Dwarka DS-3 Packer Capacity,4,6,66.67,236000,4,6
99,2026-03-27T07:12:00+05:30,17,3,driver_capacity,Delhi NCR Dwarka DS-3 Driver Capacity,13,16,81.25,526000,13,16
100,2026-03-27T07:12:00+05:30,17,3,dispatch_bays,Delhi NCR Dwarka DS-3 Dispatch Bays,3,3,100.0,130000,13,16
101,2026-03-27T07:12:00+05:30,17,3,cold_storage,Delhi NCR Dwarka DS-3 Cold Storage,140,197,71.07,185220,9,13
102,2026-03-27T07:12:00+05:30,17,3,saas_licenses,Delhi NCR Dwarka DS-3 Operations SaaS Seats,16,19,84.21,50890,9,13
103,2026-03-27T07:30:00+05:30,18,3,picker_capacity,Delhi NCR Saket DS-4 Picker Capacity,7,8,87.5,321000,7,8
104,2026-03-27T07:30:00+05:30,18,3,packer_capacity,Delhi NCR Saket DS-4 Packer Capacity,2,4,50.0,218000,2,4
105,2026-03-27T07:30:00+05:30,18,3,driver_capacity,Delhi NCR Saket DS-4 Driver Capacity,15,18,83.33,542000,15,18
106,2026-03-27T07:30:00+05:30,18,3,dispatch_bays,Delhi NCR Saket DS-4 Dispatch Bays,3,3,100.0,130000,15,18
107,2026-03-27T07:30:00+05:30,18,3,cold_storage,Delhi NCR Saket DS-4 Cold Storage,87,126,69.05,166760,9,12
108,2026-03-27T07:30:00+05:30,18,3,saas_licenses,Delhi NCR Saket DS-4 Operations SaaS Seats,14,18,77.78,50580,9,12
109,2026-03-27T07:19:00+05:30,19,3,picker_capacity,Delhi NCR Rohini DS-5 Picker Capacity,11,12,91.67,369000,11,12
110,2026-03-27T07:19:00+05:30,19,3,packer_capacity,Delhi NCR Rohini DS-5 Packer Capacity,8,10,80.0,272000,8,10
