invoice_id,org_id,vendor_id,contract_id,store_id,city_id,invoice_ref,invoice_date,billing_period_start,billing_period_end,service_unit_count,validated_unit_count,billed_rate_inr,contracted_rate_inr,amount_inr,status
1,1,2,2,1,1,QB-001-02-W01,2026-03-29,2026-03-27,2026-03-29,836,836,39.89,39.89,33348.04,open
2,1,4,4,1,1,QB-001-04-W01,2026-03-29,2026-03-27,2026-03-29,1077,1077,6.98,6.98,7517.46,open
3,1,8,8,1,1,QB-001-08-W01,2026-03-29,2026-03-27,2026-03-29,57,57,1088.48,1088.48,62043.36,open
4,1,6,6,1,1,QB-001-06-W01,2026-03-29,2026-03-27,2026-03-29,193,193,39.06,39.06,7538.58,open
5,1,9,9,1,1,QB-001-09-W01,2026-03-29,2026-03-27,2026-03-29,28,28,298.29,298.29,8352.12,open
6,1,1,1,2,1,QB-002-01-W01,2026-03-29,2026-03-27,2026-03-29,663,663,35.74,35.74,23695.62,open
7,1,4,4,2,1,QB-002-04-W01,2026-03-29,2026-03-27,2026-03-29,799,799,6.98,6.98,5577.02,open
8,1,7,7,2,1,QB-002-07-W01,2026-03-29,2026-03-27,2026-03-29,43,43,937.94,937.94,40331.42,open
9,1,6,6,2,1,QB-002-06-W01,2026-03-29,2026-03-27,2026-03-29,135,135,39.06,39.06,5273.1,open
10,1,10,10,2,1,QB-002-10-W01,2026-03-29,2026-03-27,2026-03-29,35,35,240.82,240.82,8428.7,open
11,1,2,2,3,1,QB-003-02-W01,2026-03-29,2026-03-27,2026-03-29,619,619,39.89,39.89,24691.91,open
12,1,3,3,3,1,QB-003-03-W01,2026-03-29,2026-03-27,2026-03-29,783,783,6.47,6.47,5066.01,open
13,1,7,7,3,1,QB-003-07-W01,2026-03-29,2026-03-27,2026-03-29,57,57,937.94,937.94,53462.58,open
14,1,6,6,3,1,QB-003-06-W01,2026-03-29,2026-03-27,2026-03-29,158,158,39.06,39.06,6171.48,open
15,1,9,9,3,1,QB-003-09-W01,2026-03-29,2026-03-27,2026-03-29,22,22,298.29,298.29,6562.38,open
16,1,2,2,4,1,QB-004-02-W01,2026-03-29,2026-03-27,2026-03-29,796,796,39.89,39.89,31752.44,open
17,1,3,3,4,1,QB-004-03-W01,2026-03-29,2026-03-27,2026-03-29,911,911,6.47,6.47,5894.17,open
18,1,8,8,4,1,QB-004-08-W01,2026-03-29,2026-03-27,2026-03-29,51,47,1088.48,1088.48,55512.48,open
19,1,5,5,4,1,QB-004-05-W01,2026-03-29,2026-03-27,2026-03-29,191,191,34.29,34.29,6549.39,open
20,1,9,9,4,1,QB-004-09-W01,2026-03-29,2026-03-27,2026-03-29,20,20,298.29,298.29,5965.8,open
21,1,2,2,5,1,QB-005-02-W01,2026-03-29,2026-03-27,2026-03-29,448,448,39.89,39.89,17870.72,open
22,1,3,3,5,1,QB-005-03-W01,2026-03-29,2026-03-27,2026-03-29,570,570,6.47,6.47,3687.9,open
23,1,8,8,5,1,QB-005-08-W01,2026-03-29,2026-03-27,2026-03-29,55,55,1088.48,1088.48,59866.4,open
24,1,6,6,5,1,QB-005-06-W01,2026-03-29,2026-03-27,2026-03-29,122,122,39.06,39.06,4765.32,open
25,1,9,9,5,1,QB-005-09-W01,2026-03-29,2026-03-27,2026-03-29,27,27,298.29,298.29,8053.83,open
26,1,2,2,6,1,QB-006-02-W01,2026-03-29,2026-03-27,2026-03-29,641,641,39.89,39.89,25569.49,open
27,1,3,3,6,1,QB-006-03-W01,2026-03-29,2026-03-27,2026-03-29,778,778,6.47,6.47,5033.66,open
28,1,8,8,6,1,QB-006-08-W01,2026-03-29,2026-03-27,2026-03-29,60,53,1088.48,1088.48,65308.8,open
29,1,6,6,6,1,QB-006-06-W01,2026-03-29,2026-03-27,2026-03-29,132,132,39.06,39.06,5155.92,open
30,1,10,10,6,1,QB-006-10-W01,2026-03-29,2026-03-27,2026-03-29,38,38,240.82,240.82,9151.16,open
31,1,1,1,7,1,QB-007-01-W01,2026-03-29,2026-03-27,2026-03-29,734,734,35.74,35.74,26233.16,open
32,1,4,4,7,1,QB-007-04-W01,2026-03-29,2026-03-27,2026-03-29,874,874,6.98,6.98,6100.52,open
33,1,8,8,7,1,QB-007-08-W01,2026-03-29,2026-03-27,2026-03-29,64,64,1088.48,1088.48,69662.72,open
34,1,5,5,7,1,QB-007-05-W01,2026-03-29,2026-03-27,2026-03-29,170,170,34.29,34.29,5829.3,open
35,1,10,10,7,1,QB-007-10-W01,2026-03-29,2026-03-27,2026-03-29,24,24,240.82,240.82,5779.68,open
36,1,1,1,8,2,QB-008-01-W01,2026-03-29,2026-03-27,2026-03-29,345,345,35.74,35.74,12330.3,open
37,1,4,4,8,2,QB-008-04-W01,2026-03-29,2026-03-27,2026-03-29,449,449,8.44,6.98,3789.56,open
38,1,8,8,8,2,QB-008-08-W01,2026-03-29,2026-03-27,2026-03-29,48,44,1088.48,1088.48,52247.04,open
39,1,5,5,8,2,QB-008-05-W01,2026-03-29,2026-03-27,2026-03-29,208,208,34.29,34.29,7132.32,open
40,1,9,9,8,2,QB-008-09-W01,2026-03-29,2026-03-27,2026-03-29,35,35,298.29,298.29,10440.15,open
41,1,2,2,9,2,QB-009-02-W01,2026-03-29,2026-03-27,2026-03-29,738,738,39.89,39.89,29438.82,open
42,1,3,3,9,2,QB-009-03-W01,2026-03-29,2026-03-27,2026-03-29,858,858,6.47,6.47,5551.26,open
43,1,7,7,9,2,QB-009-07-W01,2026-03-29,2026-03-27,2026-03-29,47,47,937.94,937.94,44083.18,open
44,1,5,5,9,2,QB-009-05-W01,2026-03-29,2026-03-27,2026-03-29,208,208,34.29,34.29,7132.32,open
45,1,10,10,9,2,QB-009-10-W01,2026-03-29,2026-03-27,2026-03-29,34,34,240.82,240.82,8187.88,open
46,1,2,2,10,2,QB-010-02-W01,2026-03-29,2026-03-27,2026-03-29,958,958,39.89,39.89,38214.62,open
47,1,4,4,10,2,QB-010-04-W01,2026-03-29,2026-03-27,2026-03-29,1214,1214,6.98,6.98,8473.72,open
48,1,7,7,10,2,QB-010-07-W01,2026-03-29,2026-03-27,2026-03-29,47,47,937.94,937.94,44083.18,open
49,1,5,5,10,2,QB-010-05-W01,2026-03-29,2026-03-27,2026-03-29,127,127,34.29,34.29,4354.83,open
50,1,9,9,10,2,QB-010-09-W01,2026-03-29,2026-03-27,2026-03-29,38,38,298.29,298.29,11335.02,open
51,1,2,2,11,2,QB-011-02-W01,2026-03-29,2026-03-27,2026-03-29,333,333,39.89,39.89,13283.37,open
52,1,4,4,11,2,QB-011-04-W01,2026-03-29,2026-03-27,2026-03-29,401,401,6.98,6.98,2798.98,open
53,1,7,7,11,2,QB-011-07-W01,2026-03-29,2026-03-27,2026-03-29,50,50,1109.67,937.94,55483.5,open
54,1,5,5,11,2,QB-011-05-W01,2026-03-29,2026-03-27,2026-03-29,198,198,34.29,34.29,6789.42,open
55,1,9,9,11,2,QB-011-09-W01,2026-03-29,2026-03-27,2026-03-29,44,44,298.29,298.29,13124.76,open
56,1,1,1,12,2,QB-012-01-W01,2026-03-29,2026-03-27,2026-03-29,659,659,35.74,35.74,23552.66,open
57,1,3,3,12,2,QB-012-03-W01,2026-03-29,2026-03-27,2026-03-29,907,907,7.55,6.47,6847.85,open
58,1,8,8,12,2,QB-012-08-W01,2026-03-29,2026-03-27,2026-03-29,49,49,1088.48,1088.48,53335.52,open
59,1,6,6,12,2,QB-012-06-W01,2026-03-29,2026-03-27,2026-03-29,148,148,39.06,39.06,5780.88,open
60,1,10,10,12,2,QB-012-10-W01,2026-03-29,2026-03-27,2026-03-29,25,25,240.82,240.82,6020.5,open
61,1,2,2,13,2,QB-013-02-W01,2026-03-29,2026-03-27,2026-03-29,561,561,39.89,39.89,22378.29,open
62,1,3,3,13,2,QB-013-03-W01,2026-03-29,2026-03-27,2026-03-29,729,729,6.47,6.47,4716.63,open
63,1,7,7,13,2,QB-013-07-W01,2026-03-29,2026-03-27,2026-03-29,73,73,937.94,937.94,68469.62,open
64,1,6,6,13,2,QB-013-06-W01,2026-03-29,2026-03-27,2026-03-29,206,206,39.06,39.06,8046.36,open
65,1,9,9,13,2,QB-013-09-W01,2026-03-29,2026-03-27,2026-03-29,37,37,298.29,298.29,11036.73,open
66,1,1,1,14,2,QB-014-01-W01,2026-03-29,2026-03-27,2026-03-29,466,466,35.74,35.74,16654.84,open
67,1,3,3,14,2,QB-014-03-W01,2026-03-29,2026-03-27,2026-03-29,606,606,6.47,6.47,3920.82,open
68,1,8,8,14,2,QB-014-08-W01,2026-03-29,2026-03-27,2026-03-29,76,76,1088.48,1088.48,82724.48,open
69,1,6,6,14,2,QB-014-06-W01,2026-03-29,2026-03-27,2026-03-29,99,99,39.06,39.06,3866.94,open
70,1,10,10,14,2,QB-014-10-W01,2026-03-29,2026-03-27,2026-03-29,36,36,240.82,240.82,8669.52,open
71,1,1,1,15,3,QB-015-01-W01,2026-03-29,2026-03-27,2026-03-29,549,549,35.74,35.74,19621.26,open
72,1,3,3,15,3,QB-015-03-W01,2026-03-29,2026-03-27,2026-03-29,672,672,6.47,6.47,4347.84,open
73,1,8,8,15,3,QB-015-08-W01,2026-03-29,2026-03-27,2026-03-29,74,74,1088.48,1088.48,80547.52,open
74,1,5,5,15,3,QB-015-05-W01,2026-03-29,2026-03-27,2026-03-29,158,158,34.29,34.29,5417.82,open
75,1,9,9,15,3,QB-015-09-W01,2026-03-29,2026-03-27,2026-03-29,34,34,298.29,298.29,10141.86,open
76,1,1,1,16,3,QB-016-01-W01,2026-03-29,2026-03-27,2026-03-29,416,416,35.74,35.74,14867.84,open
77,1,4,4,16,3,QB-016-04-W01,2026-03-29,2026-03-27,2026-03-29,579,579,6.98,6.98,4041.42,open
78,1,8,8,16,3,QB-016-08-W01,2026-03-29,2026-03-27,2026-03-29,53,53,1088.48,1088.48,57689.44,open
79,1,6,6,16,3,QB-016-06-W01,2026-03-29,2026-03-27,2026-03-29,155,155,39.06,39.06,6054.3,open
80,1,9,9,16,3,QB-016-09-W01,2026-03-29,2026-03-27,2026-03-29,24,24,298.29,298.29,7158.96,open
81,1,2,2,17,3,QB-017-02-W01,2026-03-29,2026-03-27,2026-03-29,782,676,39.89,39.89,31193.98,open
82,1,4,4,17,3,QB-017-04-W01,2026-03-29,2026-03-27,2026-03-29,789,789,6.98,6.98,5507.22,open
83,1,7,7,17,3,QB-017-07-W01,2026-03-29,2026-03-27,2026-03-29,75,75,1023.0,937.94,76725.0,open
84,1,5,5,17,3,QB-017-05-W01,2026-03-29,2026-03-27,2026-03-29,165,165,34.29,34.29,5657.85,open
85,1,9,9,17,3,QB-017-09-W01,2026-03-29,2026-03-27,2026-03-29,22,22,298.29,298.29,6562.38,open
86,1,2,2,18,3,QB-018-02-W01,2026-03-29,2026-03-27,2026-03-29,334,334,39.89,39.89,13323.26,open
87,1,3,3,18,3,QB-018-03-W01,2026-03-29,2026-03-27,2026-03-29,433,433,7.49,6.47,3243.17,open
88,1,7,7,18,3,QB-018-07-W01,2026-03-29,2026-03-27,2026-03-29,38,38,1027.82,937.94,39057.16,open
89,1,6,6,18,3,QB-018-06-W01,2026-03-29,2026-03-27,2026-03-29,101,101,39.06,39.06,3945.06,open
90,1,9,9,18,3,QB-018-09-W01,2026-03-29,2026-03-27,2026-03-29,35,35,298.29,298.29,10440.15,open
91,1,1,1,19,3,QB-019-01-W01,2026-03-29,2026-03-27,2026-03-29,591,591,35.74,35.74,21122.34,open
92,1,4,4,19,3,QB-019-04-W01,2026-03-29,2026-03-27,2026-03-29,732,732,6.98,6.98,5109.36,open
93,1,7,7,19,3,QB-019-07-W01,2026-03-29,2026-03-27,2026-03-29,77,77,937.94,937.94,72221.38,open
94,1,5,5,19,3,QB-019-05-W01,2026-03-29,2026-03-27,2026-03-29,189,189,34.29,34.29,6480.81,open
95,1,10,10,19,3,QB-019-10-W01,2026-03-29,2026-03-27,2026-03-29,39,39,240.82,240.82,9391.98,open
96,1,1,1,20,3,QB-020-01-W01,2026-03-29,2026-03-27,2026-03-29,209,209,35.74,35.74,7469.66,open
97,1,3,3,20,3,QB-020-03-W01,2026-03-29,2026-03-27,2026-03-29,285,285,6.47,6.47,1843.95,open
98,1,8,8,20,3,QB-020-08-W01,2026-03-29,2026-03-27,2026-03-29,42,42,1088.48,1088.48,45716.16,open
99,1,5,5,20,3,QB-020-05-W01,2026-03-29,2026-03-27,2026-03-29,121,121,34.29,34.29,4149.09,open
100,1,9,9,20,3,QB-020-09-W01,2026-03-29,2026-03-27,2026-03-29,44,44,298.29,298.29,13124.76,open
101,1,2,2,21,4,QB-021-02-W01,2026-03-29,2026-03-27,2026-03-29,736,736,39.89,39.89,29359.04,open
102,1,3,3,21,4,QB-021-03-W01,2026-03-29,2026-03-27,2026-03-29,835,835,6.47,6.47,5402.45,open
103,1,8,8,21,4,QB-021-08-W01,2026-03-29,2026-03-27,2026-03-29,67,67,1088.48,1088.48,72928.16,open
104,1,5,5,21,4,QB-021-05-W01,2026-03-29,2026-03-27,2026-03-29,150,150,34.29,34.29,5143.5,open
105,1,10,10,21,4,QB-021-10-W01,2026-03-29,2026-03-27,2026-03-29,20,20,240.82,240.82,4816.4,open
106,1,2,2,22,4,QB-022-02-W01,2026-03-29,2026-03-27,2026-03-29,589,589,39.89,39.89,23495.21,open
107,1,4,4,22,4,QB-022-04-W01,2026-03-29,2026-03-27,2026-03-29,769,769,6.98,6.98,5367.62,open
108,1,8,8,22,4,QB-022-08-W01,2026-03-29,2026-03-27,2026-03-29,39,39,1088.48,1088.48,42450.72,open
109,1,6,6,22,4,QB-022-06-W01,2026-03-29,2026-03-27,2026-03-29,170,170,39.06,39.06,6640.2,open
110,1,10,10,22,4,QB-022-10-W01,2026-03-29,2026-03-27,2026-03-29,28,28,240.82,240.82,6742.96,open
111,1,1,1,23,4,QB-023-01-W01,2026-03-29,2026-03-27,2026-03-29,309,309,35.74,35.74,11043.66,open
112,1,3,3,23,4,QB-023-03-W01,2026-03-29,2026-03-27,2026-03-29,431,431,6.47,6.47,2788.57,open
113,1,8,8,23,4,QB-023-08-W01,2026-03-29,2026-03-27,2026-03-29,47,47,1088.48,1088.48,51158.56,open
114,1,5,5,23,4,QB-023-05-W01,2026-03-29,2026-03-27,2026-03-29,194,194,34.29,34.29,6652.26,open
115,1,9,9,23,4,QB-023-09-W01,2026-03-29,2026-03-27,2026-03-29,29,29,298.29,298.29,8650.41,open
116,1,1,1,24,4,QB-024-01-W01,2026-03-29,2026-03-27,2026-03-29,659,659,35.74,35.74,23552.66,open
117,1,3,3,24,4,QB-024-03-W01,2026-03-29,2026-03-27,2026-03-29,867,867,6.47,6.47,5609.49,open
118,1,8,8,24,4,QB-024-08-W01,2026-03-29,2026-03-27,2026-03-29,42,42,1088.48,1088.48,45716.16,open
119,1,5,5,24,4,QB-024-05-W01,2026-03-29,2026-03-27,2026-03-29,121,121,34.29,34.29,4149.09,open
120,1,9,9,24,4,QB-024-09-W01,2026-03-29,2026-03-27,2026-03-29,40,40,298.29,298.29,11931.6,open
121,1,2,2,25,4,QB-025-02-W01,2026-03-29,2026-03-27,2026-03-29,447,447,39.89,39.89,17830.83,open
122,1,3,3,25,4,QB-025-03-W01,2026-03-29,2026-03-27,2026-03-29,487,487,6.47,6.47,3150.89,open
123,1,8,8,25,4,QB-025-08-W01,2026-03-29,2026-03-27,2026-03-29,59,59,1218.97,1088.48,71919.23,open
124,1,5,5,25,4,QB-025-05-W01,2026-03-29,2026-03-27,2026-03-29,116,116,34.29,34.29,3977.64,open
125,1,9,9,25,4,QB-025-09-W01,2026-03-29,2026-03-27,2026-03-29,22,22,298.29,298.29,6562.38,open
126,1,1,1,26,5,QB-026-01-W01,2026-03-29,2026-03-27,2026-03-29,248,248,35.74,35.74,8863.52,open
127,1,4,4,26,5,QB-026-04-W01,2026-03-29,2026-03-27,2026-03-29,331,331,6.98,6.98,2310.38,open
