order_id,org_id,city_id,store_id,customer_id_hash,order_ts,promised_eta_minutes,actual_delivery_minutes,basket_value_inr,discount_value_inr,delivery_fee_inr,payment_method,order_status,item_count,distance_km,assigned_driver_id,picker_employee_id,packer_employee_id,peak_flag,rain_flag,surge_flag
1,1,1,1,e83f10dcd2c68747,2026-03-27T12:52:44+05:30,10,15,162.53,12.88,9,upi,delivered,5,1.92,4,111,115,true,false,true
2,1,1,1,61d19062e76c3dd0,2026-03-27T12:10:09+05:30,11,14,446.46,33.18,0,card,delivered,7,2.54,21,109,123,true,false,true
3,1,1,1,706df33bbdafacad,2026-03-27T12:07:14+05:30,10,14,538.85,57.78,0,card,delivered,6,0.91,20,105,117,true,false,true
4,1,1,1,55acbab4b9ace34d,2026-03-27T13:24:44+05:30,15,20,594.26,34.3,0,upi,delivered,8,4.25,9,104,117,true,false,true
5,1,1,1,6bcf143a8d018b10,2026-03-27T20:25:39+05:30,9,9,651.16,60.05,0,upi,delivered,7,1.16,16,109,119,true,false,true
6,1,1,1,a573e22188e30fa1,2026-03-27T08:10:34+05:30,10,10,435.82,1.18,0,card,delivered,5,2.14,7,110,121,false,false,true
7,1,1,1,acade5fe58d0b5a8,2026-03-27T14:28:15+05:30,10,12,318.48,8.51,15,upi,delivered,8,3.35,19,113,120,false,false,true
8,1,1,1,d6856a5453c5eb9b,2026-03-27T08:35:02+05:30,10,13,90,3.19,12,upi,delivered,3,4.24,2,110,117,false,false,true
9,1,1,1,4ec8c502aca07d89,2026-03-27T19:12:34+05:30,11,16,497.04,68.11,0,wallet,delivered,7,1.84,15,113,122,true,false,true
10,1,1,1,a3ad10b01c4bb016,2026-03-27T07:58:16+05:30,15,18,320.57,13.86,12,wallet,delivered,5,2.66,20,110,116,false,false,true
11,1,1,1,6b966c2e1d9fd311,2026-03-27T18:07:02+05:30,11,13,174.42,11.74,18,upi,delivered,5,0.93,15,104,122,true,false,true
12,1,1,1,29ca0ff2ef7ca654,2026-03-27T16:47:58+05:30,8,11,940.8,40.53,0,upi,delivered,7,0.4,23,106,118,false,false,true
13,1,1,1,da35683706ff7185,2026-03-27T21:07:05+05:30,11,11,245.37,36.05,9,upi,delivered,4,2.53,7,107,117,true,false,true
14,1,1,1,d57a09659454256b,2026-03-27T13:34:14+05:30,10,15,140.72,10.39,15,cod,delivered,3,2.09,13,109,120,true,false,true
15,1,1,1,df679543ab8b2b88,2026-03-27T13:23:54+05:30,12,11,139.17,15.21,15,card,delivered,1,3.32,20,108,115,true,false,true
16,1,1,1,e60903f5c7ec9fbd,2026-03-27T22:22:13+05:30,13,12,123.9,0.72,18,upi,delivered,3,1.85,2,112,117,false,false,true
17,1,1,1,db2f1aab1da8bb83,2026-03-27T20:01:06+05:30,9,11,444.34,20.55,0,card,delivered,10,2.43,11,105,119,true,false,true
18,1,1,1,86de594f7827c0bb,2026-03-27T15:30:56+05:30,13,14,434.85,16.41,0,card,delivered,6,3.44,6,113,120,false,false,true
19,1,1,1,6a36bc61ab005fee,2026-03-27T19:17:03+05:30,11,13,813.41,26.22,0,card,delivered,7,0.44,20,112,119,true,false,true
20,1,1,1,2baba565860ca245,2026-03-27T13:59:30+05:30,12,14,306.16,15.15,18,upi,delivered,6,2.07,22,111,121,true,false,true
21,1,1,1,badb0ba6aedfec75,2026-03-27T10:18:30+05:30,13,14,278.68,16.55,12,upi,delivered,10,0.4,24,109,119,false,false,true
22,1,1,1,1a18ecccfff56ea2,2026-03-27T13:58:24+05:30,12,13,364.77,51.26,9,upi,delivered,6,2.3,14,111,118,true,false,true
23,1,1,1,987d12a28c868fb1,2026-03-27T19:42:29+05:30,14,15,436.44,65.77,0,upi,delivered,5,2.51,24,104,115,true,false,true
24,1,1,1,dc5ea9a2762e34f9,2026-03-27T07:00:09+05:30,17,19,857.45,14.05,0,upi,delivered,7,3.26,1,112,121,false,false,true
25,1,1,1,0b42bd58472ae4bc,2026-03-27T12:02:20+05:30,13,17,1749.56,260.3,0,cod,delivered,9,1.48,21,111,120,true,false,true
26,1,1,1,ec4c4a1da10a26e7,2026-03-27T17:19:53+05:30,8,11,166.9,14.36,18,upi,delivered,6,1.71,3,104,117,false,false,true
27,1,1,1,d78e8c1ce4dd6d73,2026-03-27T15:22:58+05:30,12,12,579.34,21.95,0,upi,delivered,8,2.37,23,111,117,false,false,true
