work_item_id,org_id,city_id,store_id,team_id,item_type,priority,opened_at,expected_by,resolved_at,status,estimated_value_inr,backlog_hours,linked_order_id,linked_vendor_id
1,1,3,20,75,delivery_exception,P2,2026-03-27T12:40:00+05:30,2026-03-27T14:40:00+05:30,2026-03-27T15:54:00+05:30,resolved,181.92,0.5,7451,
2,1,3,18,9,customer_escalation,P1,2026-03-27T12:04:00+05:30,2026-03-27T13:04:00+05:30,2026-03-27T13:30:00+05:30,resolved,607.24,0.5,6962,
3,1,3,20,75,delivery_exception,P2,2026-03-27T12:31:00+05:30,2026-03-27T14:31:00+05:30,,open,657.75,0.5,7380,
4,1,1,1,5,customer_escalation,P1,2026-03-28T12:29:00+05:30,2026-03-28T13:29:00+05:30,2026-03-28T13:47:00+05:30,resolved,436.76,0.5,11878,
5,1,3,20,75,delivery_exception,P2,2026-03-27T12:17:00+05:30,2026-03-27T14:17:00+05:30,,open,493.78,0.5,7443,
6,1,5,27,96,delivery_exception,P2,2026-03-28T12:08:00+05:30,2026-03-28T14:08:00+05:30,,open,1139.41,0.5,21024,
7,1,4,22,81,delivery_exception,P2,2026-03-28T12:09:00+05:30,2026-03-28T14:09:00+05:30,,open,580.66,0.5,19563,
8,1,4,22,11,customer_escalation,P1,2026-03-28T12:15:00+05:30,2026-03-28T13:15:00+05:30,2026-03-28T15:59:00+05:30,resolved,327.77,0.5,19540,
9,1,1,5,30,delivery_exception,P2,2026-03-27T12:22:00+05:30,2026-03-27T14:22:00+05:30,2026-03-27T15:11:00+05:30,resolved,631.86,0.5,2109,
10,1,4,22,81,delivery_exception,P2,2026-03-28T12:33:00+05:30,2026-03-28T14:33:00+05:30,2026-03-28T16:32:00+05:30,resolved,1054.58,0.5,19654,
11,1,5,27,96,delivery_exception,P2,2026-03-28T12:11:00+05:30,2026-03-28T14:11:00+05:30,2026-03-28T15:58:00+05:30,resolved,354.53,0.5,20982,
12,1,5,27,96,delivery_exception,P2,2026-03-28T12:40:00+05:30,2026-03-28T14:40:00+05:30,,open,593.17,0.5,21142,
13,1,4,23,84,delivery_exception,P2,2026-03-28T12:08:00+05:30,2026-03-28T14:08:00+05:30,2026-03-28T17:36:00+05:30,resolved,152.78,0.5,19920,
14,1,4,22,81,delivery_exception,P2,2026-03-28T12:34:00+05:30,2026-03-28T14:34:00+05:30,,open,1007.04,0.5,19532,
15,1,4,23,84,delivery_exception,P2,2026-03-28T12:25:00+05:30,2026-03-28T14:25:00+05:30,2026-03-28T15:41:00+05:30,resolved,762.38,0.5,19864,
16,1,5,29,102,delivery_exception,P2,2026-03-28T12:22:00+05:30,2026-03-28T14:22:00+05:30,2026-03-28T17:41:00+05:30,resolved,759.32,0.5,21521,
17,1,4,22,81,delivery_exception,P2,2026-03-28T12:31:00+05:30,2026-03-28T14:31:00+05:30,,open,965.23,0.5,19704,
18,1,3,20,75,delivery_exception,P2,2026-03-27T12:45:00+05:30,2026-03-27T14:45:00+05:30,2026-03-27T17:49:00+05:30,resolved,201.83,0.5,7382,
19,1,1,5,30,delivery_exception,P2,2026-03-27T12:23:00+05:30,2026-03-27T14:23:00+05:30,,open,808.69,0.5,2139,
20,1,4,23,84,delivery_exception,P2,2026-03-28T12:37:00+05:30,2026-03-28T14:37:00+05:30,2026-03-28T15:56:00+05:30,resolved,1391.39,0.5,19820,
21,1,3,20,75,delivery_exception,P2,2026-03-27T12:40:00+05:30,2026-03-27T14:40:00+05:30,2026-03-27T17:48:00+05:30,resolved,213.26,0.5,7415,
22,1,5,27,96,delivery_exception,P2,2026-03-28T12:19:00+05:30,2026-03-28T14:19:00+05:30,,open,944.68,0.5,21065,
23,1,4,23,84,delivery_exception,P2,2026-03-28T12:05:00+05:30,2026-03-28T14:05:00+05:30,2026-03-28T14:51:00+05:30,resolved,1898.99,0.5,19870,
24,1,3,20,75,delivery_exception,P2,2026-03-27T12:10:00+05:30,2026-03-27T14:10:00+05:30,,open,965.1,0.5,7392,
25,1,1,5,30,delivery_exception,P2,2026-03-27T12:19:00+05:30,2026-03-27T14:19:00+05:30,2026-03-27T17:12:00+05:30,resolved,904.76,0.5,2128,
26,1,5,29,102,delivery_exception,P2,2026-03-28T12:43:00+05:30,2026-03-28T14:43:00+05:30,2026-03-28T16:28:00+05:30,resolved,140.21,0.5,21504,
